TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,trans_month,trans_day,trans_hour,trans_dayofweek,hours_since_last_trans,TransactionType,trans_year,Channel,CustomerOccupation,Cluster
14.089999999999975,70,81.0,1,5112.21,4,11,16,1,-13743.648333333333,Debit,2023,ATM,Doctor,2
376.24,68,141.0,1,13758.91,6,27,16,1,-11895.42111111111,Debit,2023,ATM,Doctor,2
126.28999999999999,19,56.0,1,1122.35,7,10,18,0,-11581.84888888889,Debit,2023,Online,Student,1
184.5,26,25.0,1,8569.06,5,5,16,4,-13167.615277777777,Debit,2023,Online,Student,1
13.449999999999989,26,198.0,1,7429.4,10,16,17,0,-9230.254166666668,Credit,2023,Online,Student,1
92.15,18,172.0,1,781.6800000000003,4,3,17,0,-13934.859722222222,Debit,2023,ATM,Student,1
7.079999999999984,37,139.0,1,13316.71,2,15,16,2,-15063.555833333334,Credit,2023,ATM,Doctor,1
171.42,67,291.0,1,2796.24,5,8,17,0,-13094.382222222222,Credit,2023,Branch,Retired,2
106.23000000000002,51,86.0,1,9095.14,3,21,16,1,-14247.191111111111,Credit,2023,Branch,Engineer,0
815.96,55,120.0,1,1021.8799999999997,3,31,16,4,-14007.993055555555,Debit,2023,ATM,Doctor,0
17.78000000000003,52,59.0,1,7599.52,3,14,16,1,-14415.343055555555,Credit,2023,Online,Engineer,0
190.02000000000004,21,173.0,1,1528.81,2,6,17,0,-15278.62,Debit,2023,Online,Student,1
494.52,24,111.0,1,1620.02,6,7,17,2,-12374.78611111111,Credit,2023,Branch,Student,1
781.76,26,123.0,1,189.6899999999996,11,20,16,0,-8391.464166666667,Debit,2023,ATM,Student,1
166.99,18,134.0,1,299.9300000000003,2,13,16,0,-15111.27,Debit,2023,Online,Student,1
465.45,36,129.0,1,3465.54,12,12,16,1,-7863.8133333333335,Debit,2023,ATM,Engineer,1
555.8,19,158.0,1,1131.2600000000002,10,30,16,0,-8895.246111111112,Credit,2023,Branch,Student,1
492.93,39,234.0,1,5109.97,12,14,18,3,-7813.660277777778,Debit,2023,Online,Engineer,0
18.680000000000007,59,106.0,1,7948.37,2,21,16,1,-14919.253055555555,Credit,2023,Branch,Retired,2
71.47999999999999,18,169.0,1,6568.59,6,8,18,3,-12349.841666666667,Credit,2023,Online,Student,1
59.31999999999999,71,38.0,1,5750.89,2,28,16,1,-14751.540555555555,Debit,2023,Branch,Retired,2
85.76999999999998,38,93.0,1,9146.19,8,11,18,4,-10813.611666666666,Debit,2023,Branch,Doctor,0
52.19999999999999,39,120.0,1,8974.93,6,6,18,1,-12397.212777777779,Debit,2023,Online,Engineer,0
345.84,22,142.0,3,1402.5,5,2,18,1,-13237.688333333334,Debit,2023,Online,Student,1
145.54,21,96.0,1,1930.96,3,2,16,3,-14703.386944444444,Debit,2023,Online,Student,1
7.490000000000009,65,276.0,1,3634.67,10,20,17,4,-9134.275277777779,Credit,2023,Online,Retired,2
246.93,23,158.0,5,673.3500000000004,4,17,16,0,-13599.576944444445,Debit,2023,ATM,Student,1
